ticker,year
A,
AAL,
AAPL,2020
AAPL,2021
AAPL,2022
ABBV,
ABNB,
ABT,
ACGL,
ACN,
ADBE,
ADI,
ADM,
ADP,
ADSK,
AEE,
AEP,
AES,
AFL,
AIG,
AIZ,
AJG,
AKAM,
ALB,
ALGN,
ALL,
ALLE,
AMAT,
AMCR,
AMD,
AME,
AMGN,
AMP,
AMT,
AMZN,
ANET,
ANSS,
AON,
AOS,
APA,
APD,
APH,
APTV,
ARE,
ATO,
AVB,
AVGO,
AVY,
AWK,
AXON,
AXP,
AZO,
BA,
BAC,
BALL,
BAX,
BBWI,
BBY,
BDX,
BEN,
BF.B,
BG,
BIIB,
BIO,
BK,
BKNG,
BKR,
BLDR,
BLK,
BMY,
BR,
BRK-B,
BRO,
BSX,
BWA,
BX,
BXP,
C,
C1000,2019
C1001,2017
C1002,2018
C1006,2016
C1007,2017
C1008,2020
C1009,2018
C1013,2016
C1014,2021
C1015,2019
C1016,2024
C1018,2019
C1019,2023
C1020,2019
C1021,2024
C1022,2015
C1023,2019
C1024,2020
C1026,2018
C1027,2023
C1029,2016
C1030,2016
C1031,2024
C1032,2020
C1033,2017
C1034,2024
C1035,2022
C1037,2022
C1039,2019
C1041,2017
C1043,2022
C1045,2023
C1046,2015
C1047,2023
C1048,2024
C1051,2022
C1052,2022
C1053,2016
C1054,2021
C1056,2022
C1057,2024
C1058,2015
C1059,2015
C1060,2020
C1063,2015
C1064,2016
C1065,2021
C1066,2016
C1067,2023
C1069,2022
C1071,2016
C1073,2022
C1075,2019
C1076,2017
C1078,2015
C1079,2024
C1080,2024
C1081,2015
C1082,2018
C1085,2020
C1087,2024
C1088,2021
C1090,2017
C1091,2018
C1094,2017
C1095,2018
C1096,2017
C1097,2022
C1098,2023
C1099,2023
C1102,2015
C1103,2017
C1105,2024
C1107,2024
C1108,2023
C1109,2023
C1111,2021
C1112,2016
C1113,2019
C1114,2019
C1115,2021
C1116,2018
C1117,2017
C1119,2024
C1120,2015
C1121,2022
C1123,2024
C1125,2021
C1127,2017
C1129,2021
C1131,2017
C1133,2019
C1134,2022
C1135,2019
C1136,2017
C1137,2024
C1141,2018
C1145,2015
C1147,2019
C1148,2018
C1149,2017
C1152,2024
C1153,2022
C1154,2019
C1155,2018
C1157,2019
C1158,2017
C1161,2024
C1162,2022
C1163,2019
C1164,2019
C1165,2019
C1166,2017
C1167,2019
C1170,2021
C1171,2016
C1172,2019
C1173,2016
C1174,2022
C1177,2019
C1178,2018
C1181,2023
C1182,2018
C1183,2022
C1184,2017
C1185,2019
C1186,2016
C1187,2020
C1189,2023
C1190,2020
C1191,2022
C1192,2022
C1193,2016
C1194,2024
C1195,2016
C1196,2024
C1197,2016
C1199,2024
C1200,2018
C1201,2023
C1202,2024
C1203,2023
C1204,2021
C1205,2020
C1208,2015
C1209,2021
C1210,2015
C1212,2016
C1213,2015
C1214,2017
C1215,2023
C1217,2018
C1218,2021
C1221,2015
C1223,2023
C1224,2019
C1226,2021
C1228,2021
C1229,2015
C1230,2024
C1231,2022
C1232,2017
C1233,2021
C1234,2024
C1235,2017
C1236,2022
C1237,2019
C1239,2015
C1240,2020
C1241,2018
C1242,2018
C1243,2015
C1244,2023
C1245,2023
C1249,2015
C1250,2021
C1252,2024
C1253,2020
C1254,2021
C1256,2024
C1260,2015
C1261,2017
C1262,2020
C1263,2024
C1264,2022
C1267,2022
C1268,2022
C1269,2015
C1270,2024
C1271,2020
C1272,2023
C1275,2016
C1276,2019
C1277,2020
C1279,2021
C1281,2019
C1282,2015
C1283,2024
C1284,2019
C1285,2018
C1287,2024
C1288,2016
C1290,2017
C1292,2016
C1293,2024
C1294,2023
C1297,2020
C1298,2017
C1299,2021
C1300,2016
C1301,2023
C1302,2020
C1303,2017
C1305,2024
C1306,2023
C1307,2017
C1308,2023
C1309,2023
C1311,2021
C1312,2018
C1313,2020
C1316,2023
C1317,2020
C1318,2019
C1319,2023
C1320,2018
C1321,2021
C1322,2015
C1323,2020
C1324,2022
C1325,2021
